               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   6,            0.086998,            0.030921,            0.024652,            0.026011,             0.11111,            0.064086,            0.014724,            0.087769,             0.02384,            0.023909,            0.010779,           0.0077794,           0.0077794
                   7,            0.082005,            0.024573,            0.022999,             0.88235,             0.30556,             0.32687,             0.12487,             0.07515,            0.024847,            0.022296,             0.00769,             0.00769,             0.00769
                   8,             0.08551,            0.032727,            0.023781,             0.82173,             0.27778,             0.26404,              0.1154,            0.071868,            0.024659,            0.020962,             0.00769,             0.00769,             0.00769
                   9,            0.080001,            0.027499,            0.020076,             0.80857,             0.16667,             0.14842,            0.037438,            0.083113,            0.022031,             0.01996,             0.00736,             0.00736,             0.00736
                  10,            0.077552,            0.030013,            0.019832,             0.92581,             0.32407,             0.38586,             0.13874,             0.07654,            0.021987,            0.019605,             0.00703,             0.00703,             0.00703
                  11,            0.077762,            0.027668,            0.017995,             0.57474,             0.34259,             0.44101,             0.14576,             0.07603,            0.022148,            0.018422,              0.0067,              0.0067,              0.0067
                  12,            0.072407,            0.028956,             0.01716,             0.60897,             0.32407,             0.33536,             0.11149,            0.075327,            0.020817,            0.018222,             0.00637,             0.00637,             0.00637
                  13,            0.074465,            0.029236,            0.017757,             0.36401,              0.2963,             0.31427,             0.10392,            0.068407,            0.020605,            0.016542,             0.00604,             0.00604,             0.00604
                  14,            0.071179,            0.023688,            0.017164,             0.44214,             0.49074,             0.46054,             0.17933,            0.066079,            0.019562,            0.016292,             0.00571,             0.00571,             0.00571
                  15,            0.069231,            0.024935,            0.014866,             0.32605,             0.51473,             0.54925,              0.1997,            0.064829,            0.018498,            0.016338,             0.00538,             0.00538,             0.00538
                  16,            0.062824,            0.027705,            0.014844,             0.33162,             0.59546,             0.46476,             0.20612,            0.068756,            0.016741,            0.016152,             0.00505,             0.00505,             0.00505
                  17,            0.064147,            0.018164,            0.013257,             0.33693,             0.58333,             0.48054,             0.20375,            0.065854,            0.017196,            0.015908,             0.00472,             0.00472,             0.00472
                  18,            0.066039,            0.025021,             0.01315,             0.46466,             0.60185,             0.51054,             0.33049,            0.060356,            0.017035,            0.015908,             0.00439,             0.00439,             0.00439
                  19,            0.063949,            0.028245,             0.01297,             0.36818,             0.61216,             0.51903,             0.19088,            0.060763,            0.016646,            0.015895,             0.00406,             0.00406,             0.00406
                  20,            0.063913,            0.022864,            0.013543,             0.46185,             0.63889,             0.62585,              0.3331,            0.055466,            0.016569,            0.015806,             0.00373,             0.00373,             0.00373
                  21,            0.059222,            0.025653,            0.011835,             0.59857,             0.73148,             0.65875,             0.35706,            0.055571,             0.01582,            0.015454,              0.0034,              0.0034,              0.0034
                  22,            0.060497,            0.021053,            0.011895,             0.58457,             0.71296,             0.63833,             0.31651,            0.053905,            0.016141,            0.015306,             0.00307,             0.00307,             0.00307
                  23,            0.060796,            0.020293,            0.013509,             0.58118,             0.69444,             0.66245,             0.35917,            0.054891,            0.015698,            0.014988,             0.00274,             0.00274,             0.00274
                  24,             0.05883,            0.023306,            0.012156,             0.65513,             0.65741,             0.64966,             0.30301,            0.052547,            0.015609,            0.014811,             0.00241,             0.00241,             0.00241
                  25,             0.05389,            0.019379,            0.011467,             0.57778,             0.65741,             0.60902,             0.32512,            0.052455,            0.015337,            0.014762,             0.00208,             0.00208,             0.00208
                  26,            0.052382,            0.018939,            0.011249,             0.59839,             0.65741,             0.62746,             0.39902,            0.050406,             0.01541,            0.014821,             0.00175,             0.00175,             0.00175
                  27,            0.054091,            0.022356,            0.012245,             0.64023,             0.70122,             0.65107,             0.42809,            0.048314,            0.015378,            0.014739,             0.00142,             0.00142,             0.00142
                  28,            0.051919,            0.019793,            0.011145,             0.64814,             0.65049,             0.64464,             0.39703,            0.048742,            0.015125,            0.014849,             0.00109,             0.00109,             0.00109
                  29,            0.051828,            0.020459,            0.013188,             0.64361,             0.65874,              0.6753,             0.41286,            0.046983,            0.015093,            0.014846,             0.00076,             0.00076,             0.00076
